college_code,college_name,location,branch_code,branch_name,category,cutoff
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,1G,9493
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2AG,7417
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2AK,23070
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2AR,14622
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2BG,8609
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,3AG,5747
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,3AR,9232
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,3BG,5977
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,GM,4181
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,GMK,7512
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,GMR,7946
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,SCG,21897
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,SCK,50422
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,SCR,30827
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,STG,13649
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,STR,20891
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,1G,40475
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,1R,50935
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2AG,50639
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2AK,64304
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2AR,63518
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2BG,45065
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2BR,74998
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3AG,42349
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3AR,45909
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3BG,40137
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3BR,41766
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,GM,32428
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,GMK,38508
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,GMR,39827
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,SCG,40750
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,SCK,41297
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,SCR,45802
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,STG,36620
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,1G,2601
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2AG,2986
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2AK,5737
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2AR,5345
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2BG,3940
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3AG,2264
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3BG,2559
