college_code,college_name,location,branch_code,branch_name,category,cutoff
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,1G,10362
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2AG,10866
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2AR,11476
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2BG,12715
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,3AG,7157
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,3BG,7979
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,GM,6491
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,GMK,8135
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,GMR,9067
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,SCG,27948
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,SCK,36559
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,SCR,37378
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,STG,32536
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,STR,35989
E001,University of Visvesvaraya College of Engineering,Bangalore,AR,Architecture,GM,503
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,1G,98609
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2AG,84690
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2AK,94377
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2AR,113375
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2BG,135975
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2BR,161714
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3AG,73502
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3AR,84511
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3BG,84670
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3BR,102557
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,GM,60289
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,GMK,69405
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,GMR,83713
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,SCG,108968
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,SCK,133225
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,SCR,121681
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,STG,108227
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,STK,124574
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,STR,139819
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,1G,7835
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,1R,13146
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2AG,6831
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2AK,8846
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2AR,7538
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2BG,10578
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2BR,11860
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3AG,5476
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3AR,6547
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3BG,6057
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3BK,7918
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3BR,6600
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,GM,4723
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,GMK,7849
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,GMR,6296
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,SCG,22940
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,SCK,26105
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,SCR,32681
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,STG,25405
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,STR,25565
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,1G,12525
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,1R,17032
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,2AG,12970
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,2AK,21937
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,2AR,13652
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,2BG,16034
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,2BR,40511
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,3AG,9356
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,3AK,19963
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,3BG,10452
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,3BR,12854
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,GM,9130
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,GMK,15038
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,GMR,11968
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,SCG,44383
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,SCK,49110
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,SCR,48895
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,STG,34812
E001,University of Visvesvaraya College of Engineering,Bangalore,EC,Electronics and Communication Engineering,STR,37639
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,1G,29282
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,1K,51745
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,1R,39563
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,2AG,33108
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,2AK,40667
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,2AR,42160
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,2BG,33101
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,3AG,26819
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,3BG,30581
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,3BR,35222
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,GM,22286
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,GMK,27704
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,GMR,27495
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,SCG,69479
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,SCK,81527
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,SCR,109280
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,STG,57012
E001,University of Visvesvaraya College of Engineering,Bangalore,EE,Electrical Engineering,STR,66517
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,1G,8646
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,2AG,8508
E001,University of Visvesvaraya College of Engineering,Bangalore,IE,Information Science,2AR,10046
