college_code,college_name,location,branch_code,branch_name,category,cutoff
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,1G,10199
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2AG,7457
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2AR,10689
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2BG,9561
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,2BK,38720
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,3AG,5698
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,3AR,7885
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,3BG,7194
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,GM,5644
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,GMK,10372
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,GMR,7445
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,SCG,22543
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,SCR,39944
E001,University of Visvesvaraya College of Engineering,Bangalore,AI,Artificial Intelligence,STG,13323
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,1G,68513
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,1R,89850
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2AG,89193
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2AK,107594
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2AR,108447
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2BG,76860
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,2BR,139409
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3AG,72878
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3AR,85675
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3BG,73602
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,3BR,79785
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,GM,61935
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,GMK,68461
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,GMR,75024
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,SCG,90235
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,SCK,109418
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,SCR,101537
E001,University of Visvesvaraya College of Engineering,Bangalore,CE,Civil Engineering,STG,76952
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,1G,2910
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2AG,3987
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2AR,5152
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,2BG,3946
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3AG,2674
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3AK,9604
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,3BG,2666
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,GM,2401
E001,University of Visvesvaraya College of Engineering,Bangalore,CS,Computer Science,GMK,3799
