college_code,college_name,location
E160,Sahyadri College of Engg. and Management,Mangaluru
E161,Government Engineering College,Kushalnagar
E162,Government Engineering College,Raichur
E163,Government Engineering College,Devagiri
E164,Government Engineering College,Huvina Hadagali
E165,Yenepoya Institute of Technology,Thodar
E166,K L E Institute of Technology,Hubballi
E167,K L E Ss K L E College of Engineering and Technology,Chikkodi
E168,Amrutha Institute of Engineering and Mangement,Bidadi
E169,Alva`s Institute of Engineering and Technology,Moodabidri
E171,Brindavan College of Engineering,Bangalore
E172,R.R.Institute of Technology,Bangalore
E173,Sai Vidya Institute of Technology,Bangalore
E174,Dr. Sri. Sri. Sri. Shivakumara Mahaswamyji College of Engineering,Bangalore
E175,S.G.Balekundri Institute of Technology,Belagavi
E176,Navodaya Institute of Technology,Raihcur
E177,Rajeev Institute of Technology,Hassan
E178,The National Institute of Engineering(NORTH CAMPUS),Mysuru
E180,Bearys Institute of Technology,Mangaluru
E183,Sha-Shib College of Engineering,Chickballapur
E184,C Byre Gowda Institute of Technology,Kolar
E185,Angadi Institute of Technology and Management,Belagavi
E186,ACS College of Engineering,Bangalore
E188,Vijaya Vittala Institute of Technology,Bangalore
E189,Navkis College of Engineering (Formerly NDRKIT),Kandali
E191,Akshaya Institute of Technology,Tumakuru
E193,Srinivas University,Mukka
E194,Government Engineering College,Karwar
E196,Jain College of Engineering,Machche
E197,Veerappa Nisty Engineering College,Yadigir
E198,Sharnbasva University College for Women(Formerly Godutai),Gulbarga
E199,AGM Rural Engineering College,Hubballi
E201,Gopalan College of Engineering and Management,Bangalore
E202,Sampoorna Institute of Technology and Research,Ramanagara
E203,K.S. School of Engineering And Management,Bangalore
E204,Bangalore Technological Institute,Bangalore
E205,ATME College of Engineering,Mysuru
E206,Shri Madhwa Vadiraja Institute of Technology and Management,Udupi
E207,VSMs Somashekar R Kothiwale Institute of Technology,Nippani
E209,Jyothi Institute of Technology,Bangalore
E210,G Madegowda Institute of Technology,Maddur Taluk
E211,Jain Institute of Technology,Davangere
E212,Dayananda Sagar Academy of Technology,Bangalore
E213,Lingarajappa Engineering College,Bidar
E216,Shetty Institute of Technology,Gulbarga
E219,Mangaluru Marine College and Technology,Mangaluru
E220,Alliance University,Bangalore
E221,Biluru Gurubasava Mahaswamiji Institute of Technology,Mudhol
E222,Cambridge Institutute of Technology-North Campus,Bangalore
E227,Cauvery Institute of Technology,Mandya
E232,Reva University,Bangalore
E235,M.S. Ramaiah University of Applied Sciences,Bangalore
E237,Presidency University,Bangalore
E238,Mysuru Royal Institute of Technology,Mandya
E239,East West College of Engineering,Bangalore
E240,Dayananda Sagar University,Bangalore
E241,KLE Technological University(Formerly BVBCET),Dharward
E252,Mysuru College of Engineering and Management,Mysuru
E254,A J Institute Of Engineering And Technology,Mangaluru
E255,Gitam School Of Technology,Bangalore
E257,CMR University,Bangalore
E258,Maharaja Institute of Technology,Thandavapura
E260,Nitte School of Architecture,Bangalore
E263,School of Planning and Architecture,Mysuru
E265,Jain College of Engineering and Technology,Hubballi
E269,Jain College of Engineering and Research,Udyambhag
E272,Government Engineering College,Talakal
E273,Government Engineering College,Viprasainagar
E274,Government Engineering College,Moselehosahalli
E275,R V Institute of Technology and Management,Bangalore
E278,Visvesvaraya Technological University,Muddenahalli
E279,Visvesvaraya Technological University,Belagavi
E281,Government Engineering College,Challakere
E283,University of Mysuru,Mysuru
E284,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.),Mysuru
E285,R V University,Bangalore
E286,BGS College of Engineering and Technology,Bangalore
E287,Vidyashilp University,Bangalore
E288,Garden City University,Bangalore
E289,Visvesvaraya Technological University - Regional Center,Rajapur
E290,Visvesvaraya Technological University - Regional Center,Mysuru
E291,Government Engineering College,Naragund
E292,Government Engineering College,Bidar
E039,Malik Sandal Institute of Arts and Architecture,Vijayapura
E066,University B.D.T. College of Engineering,Davangere
E181,Sri Basaveswara Institute of Technology,Tumakuru
E190,Acharya N R V School of Architecture,Bangalore
E208,Achutha Institute of Technology,Bangalore
E215,B M S School of Architecture,Bangalore
E224,Impact School of Architecture,Bangalore
E225,S.J.B School of Architecture and Planning,Bangalore
E228,Mysuru School of Architecture,Mysuru
E229,Gopalan School of Architecture and Planning,Bangalore
E230,R R School of Architecture,Bangalore
E242,BGS School of Architecture and Planning,Bangalore
E243,Adithya Academy of Architecture and Design,Bangalore
E244,R V College of Architecture,Bangalore
E245,CMR University School of Architecture,Bangalore
E246,The Oxford School of Architecture,Bangalore
E247,Bearys Enviro-Architecture Design School,Mangaluru
E248,Wadiyar Centre For Architecture,Mysuru
E249,HMS School of Architecture,Tumakuru
E250,K S School of Architecture,Bangalore
E256,Rai Technology University,Bangalore
E259,Sir M.V School of Architecture,Bangalore
E261,Angadi School of Architecture,Belagavi
E262,Brindavan College of Architecture,Bangalore
E264,Basava Engineering School of Technology,Vijayapura
E266,BMS College of Architecture,Bangalore
E267,Sir M V School of Architecture,Bangalore
E268,R N S School Of Architecture,Bangalore
E271,East West School of Architecture,Bangalore
E276,Dayananda Sagar College of Architecture,Bangalore
E280,G S S S School of Architecture for Women,Mysuru
E282,JSS Institute of Architecture and Planning,Dharwad
E293,Poojya Dr.Shivakumar Swamiji School of Architecture,Gulbarga
E294,School of Architecture Srinivas Institute of Technology,Mangaluru
E295,School of Architecture K.L.S Gogte Institute of Technology,Belagavi
E296,School of Architecture Siddaganga Institute of Technology,Tumakuru
E297,Aditya College of Engineering and Technology,Bangalore
E298,School of Architecture M S Ramaiah Institute of Technology,Bangalore
E299,Ghousia Institute of Technology for Women,Bangalore
E300,Akash Institute of Engineering and Technology,Bangalore
E301,Kishkinda University,Ballari
E302,Amity University,Bangalore
E303,G M University,Davangere
E304,Bharatesh Institute of Technology,Belagavi
E305,Dr H N National College of Engineering,Bangalore
E306,The Chanakya University,Bangalore
E307,Seshadripuram Institute of Technology,Mysuru
E308,Constituent College of VTU,Chikkaballapur
E309,Constituent College of VTU,Chikkaballapur
E053,N M A M Institute of Technology, Nitte
E217,Girijabai Sail Institute of Technology, Karwar
